9	8	3	5	9	9	9	3	4	9	6	8	9	6		21																																																																			
																																																																																		
																																																																																		
																																																																																		
																																																							4 -> BQ = 28																											
inp w	9	0	0	0		inp w	8	1	21	21		inp w	3	1	18	564		inp w	5	1	11	14675		inp w	9	1	9	381559		inp w	9	0	0	14675		inp w	9	1	19	381569		inp w	3	1	15	9920809		inp w	4	0	0	381569		inp w	9	0	0	14675		inp w	6	1	10	14674		inp w	8	0	0	564		inp w	9	1	14	14678		inp w	6	0	0	564
mul x 0	9	0	0	0		mul x 0	8	0	21	21		mul x 0	3	0	18	564		mul x 0	5	0	11	14675		mul x 0	9	0	9	381559		mul x 0	9	0	0	14675		mul x 0	9	0	19	381569		mul x 0	3	0	15	9920809		mul x 0	4	0	0	381569		mul x 0	9	0	0	14675		mul x 0	6	0	10	14674		mul x 0	8	0	0	564		mul x 0	9	0	14	14678		mul x 0	6	0	0	564
add x z	9	0	0	0		add x z	8	21	21	21		add x z	3	564	18	564		add x z	5	14675	11	14675		add x z	9	381559	9	381559		add x z	9	14675	0	14675		add x z	9	381569	19	381569		add x z	3	9920809	15	9920809		add x z	4	381569	0	381569		add x z	9	14675	0	14675		add x z	6	14674	10	14674		add x z	8	564	0	564		add x z	9	14678	14	14678		add x z	6	564	0	564
mod x 26	9	0	0	0		mod x 26	8	21	21	21		mod x 26	3	18	18	564		mod x 26	5	11	11	14675		mod x 26	9	9	9	381559		mod x 26	9	11	0	14675		mod x 26	9	19	19	381569		mod x 26	3	15	15	9920809		mod x 26	4	19	0	381569		mod x 26	9	11	0	14675		mod x 26	6	10	10	14674		mod x 26	8	18	0	564		mod x 26	9	14	14	14678		mod x 26	6	18	0	564
div z 1	9	0	0	0		div z 1	8	21	21	21		div z 1	3	18	18	564		div z 1	5	11	11	14675		div z 26	9	9	9	14675		div z 1	9	11	0	14675		div z 1	9	19	19	381569		div z 26	3	15	15	381569		div z 26	4	19	0	14675		div z 26	9	11	0	564		div z 26	6	10	10	564		div z 1	8	18	0	564		div z 26	9	14	14	564		div z 26	6	18	0	21
add x 10	9	10	0	0		add x 10	8	31	21	21		add x 12	3	30	18	564		add x 11	5	22	11	14675		add x 0	9	9	9	14675		add x 15	9	26	0	14675		add x 13	9	32	19	381569		add x -12	3	3	15	381569		add x -15	4	4	0	14675		add x -15	9	-4	0	564		add x -4	6	6	10	564		add x 10	8	28	0	564		add x -5	9	9	14	564		add x -12	6	6	0	21
eql x w	9	0	0	0		eql x w	8	0	21	21		eql x w	3	0	18	564		eql x w	5	0	11	14675		eql x w	9	1	9	14675		eql x w	9	0	0	14675		eql x w	9	0	19	381569		eql x w	3	1	15	381569		eql x w	4	1	0	14675		eql x w	9	0	0	564		eql x w	6	1	10	564		eql x w	8	0	0	564		eql x w	9	1	14	564		eql x w	6	1	0	21
eql x 0	9	1	0	0		eql x 0	8	1	21	21		eql x 0	3	1	18	564		eql x 0	5	1	11	14675		eql x 0	9	0	9	14675		eql x 0	9	1	0	14675		eql x 0	9	1	19	381569		eql x 0	3	0	15	381569		eql x 0	4	0	0	14675		eql x 0	9	1	0	564		eql x 0	6	0	10	564		eql x 0	8	1	0	564		eql x 0	9	0	14	564		eql x 0	6	0	0	21
mul y 0	9	1	0	0		mul y 0	8	1	0	21		mul y 0	3	1	0	564		mul y 0	5	1	0	14675		mul y 0	9	0	0	14675		mul y 0	9	1	0	14675		mul y 0	9	1	0	381569		mul y 0	3	0	0	381569		mul y 0	4	0	0	14675		mul y 0	9	1	0	564		mul y 0	6	0	0	564		mul y 0	8	1	0	564		mul y 0	9	0	0	564		mul y 0	6	0	0	21
add y 25	9	1	25	0		add y 25	8	1	25	21		add y 25	3	1	25	564		add y 25	5	1	25	14675		add y 25	9	0	25	14675		add y 25	9	1	25	14675		add y 25	9	1	25	381569		add y 25	3	0	25	381569		add y 25	4	0	25	14675		add y 25	9	1	25	564		add y 25	6	0	25	564		add y 25	8	1	25	564		add y 25	9	0	25	564		add y 25	6	0	25	21
