Blocks,Block,Current,Height,,,,,,,,
0,0,4,1,,,,,,,,
1,1,8,4,,,,,,,,
2,2,13,6,,,,,,,,
3,3,23,6,,,,,,,,
4,4,29,6,,,,,,,,
5,0,33,7,,,,,,,,
6,1,38,9,,,,,,,,
7,2,43,11,,,,,,,,
8,3,49,13,,,,,,,,
9,4,53,15,,,,,,,,
10,0,57,16,,,,,,,,
11,1,61,19,,,,,,,,
12,2,66,21,,,,,,,,
13,3,72,23,,,,,,,,
14,4,76,25,,,,,,,,
15,0,80,26,,,,,,,,
16,1,85,28,,,,,,,,
17,2,91,29,,,,,,,,
18,3,96,32,,,,,,,,
19,4,100,34,,,,,,,,
20,0,104,35,,,,,,,,
21,1,108,38,,,,,,,,
22,2,112,41,,,,,,,,
23,3,118,43,,,,,,,,
24,4,138,43,,,,,,,,
25,0,142,44,,,,,,,,
26,1,147,46,,,,,,,,
27,2,151,49,,,,,,,,
28,3,157,51,,,,,,,,
29,4,161,53,,,,,,,,
30,0,165,54,,,,,,,,
31,1,170,56,,,,,,,,
32,2,176,57,,,,,,,,
33,3,182,59,,,,,,,,
34,4,189,59,,,,,,,,
35,0,195,59,,,,,,,,
36,1,200,61,,,,,,,,
37,2,204,64,,,,,,,,
38,3,214,64,,,,,,,,
39,4,220,64,,,,,,,,
40,0,224,65,,,,,,,,
41,1,228,68,,,,,,,,
42,2,235,68,,,,,,,,
43,3,239,72,,,,,,,,
44,4,243,74,,,,,,,,
45,0,247,75,,,,,,,,
46,1,251,78,,,,,,,,
47,2,256,80,,,,,,,,
48,3,263,81,,,,,,,,
49,4,270,81,,,,,,,,
50,0,274,82,,,,,,,,
51,1,278,85,,,,,,,,
52,2,285,85,,,,,,,,
53,3,289,89,,,,,,,,
54,4,297,89,,,,,,,,
55,0,303,89,,,,,,,,
56,1,308,91,,,,,,,,
57,2,313,93,,,,,,,,
58,3,320,94,,,,,,,,
59,4,327,94,,,,,,,,
60,0,331,95,,,,,,,,
61,1,336,97,,,,,,,,
62,2,340,100,,,,,,,,
63,3,349,100,,,,,,,,
64,4,358,100,,,,,,,,
65,0,362,101,,,,,,,,
66,1,366,104,,,,,,,,
67,2,371,106,,,,,,,,
68,3,375,110,,,,,,,,
69,4,385,110,,,,,,,,
70,0,395,110,,,,,,,,
71,1,404,110,,,,,,,,
72,2,410,111,,,,,,,,
73,3,416,113,,,,,,,,
74,4,422,113,,,,,,,,
75,0,426,114,,,,,,,,
76,1,431,116,,,,,,,,
77,2,437,117,,,,,,,,
78,3,442,120,,,,,,,,
79,4,451,120,,,,,,,,
80,0,458,120,,,,,,,,
81,1,462,123,,,,,,,,
82,2,466,126,,,,,,,,
83,3,478,126,,,,,,,,
84,4,484,126,,,,,,,,
85,0,488,127,,,,,,,,
86,1,493,129,,,,,,,,
87,2,498,131,,,,,,,,
88,3,504,133,,,,,,,,
89,4,510,133,,,,,,,,
90,0,514,134,,,,,,,,
91,1,518,137,,,,,,,,
92,2,522,140,,,,,,,,
93,3,533,140,,,,,,,,
94,4,537,142,,,,,,,,
95,0,541,143,,,,,,,,
96,1,545,146,,,,,,,,
97,2,549,149,,,,,,,,
98,3,553,153,,,,,,,,
99,4,563,153,,,,,,,,
100,0,567,154,,,,,,,,
101,1,571,157,,,,,,,,
102,2,575,160,,,,,,,,
103,3,579,164,,,,,,,,
104,4,583,166,,,,,,,,
105,0,587,167,,,,,,,,
106,1,591,170,,,,,,,,
107,2,595,173,,,,,,,,
108,3,614,173,,,,,,,,
109,4,620,173,,,,,,,,
110,0,624,174,,,,,,,,
111,1,628,177,,,,,,,,
112,2,632,180,,,,,,,,
113,3,636,184,,,,,,,,
114,4,646,184,,,,,,,,
115,0,654,184,,,,,,,,
116,1,661,184,,,,,,,,
117,2,665,187,,,,,,,,
118,3,671,189,,,,,,,,
119,4,697,189,,,,,,,,
120,0,703,189,,,,,,,,
121,1,708,191,,,,,,,,
122,2,713,193,,,,,,,,
123,3,726,193,,,,,,,,
124,4,730,195,,,,,,,,
125,0,734,196,,,,,,,,
126,1,738,199,,,,,,,,
127,2,743,201,,,,,,,,
128,3,747,205,,,,,,,,
129,4,757,205,,,,,,,,
130,0,765,205,,,,,,,,
131,1,770,207,,,,,,,,
132,2,779,207,,,,,,,,
133,3,787,207,,,,,,,,
134,4,791,209,,,,,,,,
135,0,797,209,,,,,,,,
136,1,802,211,,,,,,,,
137,2,806,214,,,,,,,,
138,3,814,214,,,,,,,,
139,4,818,216,,,,,,,,
140,0,824,216,,,,,,,,
141,1,829,218,,,,,,,,
142,2,834,220,,,,,,,,
143,3,840,222,,,,,,,,
144,4,848,222,,,,,,,,
145,0,852,223,,,,,,,,
146,1,857,225,,,,,,,,
147,2,861,228,,,,,,,,
148,3,867,230,,,,,,,,
149,4,871,232,,,,,,,,
150,0,875,233,,,,,,,,
151,1,879,236,,,,,,,,
152,2,884,238,,,,,,,,
153,3,893,238,,,,,,,,
154,4,899,238,,,,,,,,
155,0,903,239,,,,,,,,
156,1,907,242,,,,,,,,
157,2,912,244,,,,,,,,
158,3,922,244,,,,,,,,
159,4,928,244,,,,,,,,
160,0,932,245,,,,,,,,
161,1,936,248,,,,,,,,
162,2,940,251,,,,,,,,
163,3,944,255,,,,,,,,
164,4,954,255,,,,,,,,
165,0,958,256,,,,,,,,
166,1,967,256,,,,,,,,
167,2,973,257,,,,,,,,
168,3,978,260,,,,,,,,
169,4,985,260,,,,,,,,
170,0,989,261,,,,,,,,
171,1,993,264,,,,,,,,
172,2,998,266,,,,,,,,
173,3,1002,270,,,,,,,,
174,4,1015,270,,,,,,,,
175,0,1019,271,,,,,,,,
176,1,1024,273,,,,,,,,
177,2,1030,274,,,,,,,,
178,3,1036,276,,,,,,,,
179,4,1044,276,,,,,,,,
180,0,1048,277,,,,,,,,
181,1,1053,279,,,,,,,,
182,2,1059,280,,,,,,,,
183,3,1065,282,,,,,,,,
184,4,1073,282,,,,,,,,
185,0,1079,282,,,,,,,,
186,1,1084,284,,,,,,,,
187,2,1090,285,,,,,,,,
188,3,1096,287,,,,,,,,
189,4,1104,287,,,,,,,,
190,0,1110,287,,,,,,,,
191,1,1115,289,,,,,,,,
192,2,1119,292,,,,,,,,
193,3,1129,292,,,,,,,,
194,4,1140,292,,,,,,,,
195,0,1144,293,,,,,,,,
196,1,1148,296,,,,,,,,
197,2,1153,298,,,,,,,,
198,3,1159,300,,,,,,,,
199,4,1163,302,,,,,,,,
200,0,1167,303,,,,,,,,
201,1,1171,306,,,,,,,,
202,2,1176,308,,,,,,,,
203,3,1183,309,,,,,,,,
204,4,1200,309,,,,,,,,
205,0,1204,310,,,,,,,,
206,1,1208,313,,,,,,,,
207,2,1213,315,,,,,,,,
208,3,1222,315,,,,,,,,
209,4,1228,315,,,,,,,,
210,0,1232,316,,,,,,,,
211,1,1236,319,,,,,,,,
212,2,1240,322,,,,,,,,
213,3,1276,322,,,,,,,,
214,4,1282,322,,,,,,,,
215,0,1286,323,,,,,,,,
216,1,1291,325,,,,,,,,
217,2,1295,328,,,,,,,,
218,3,1304,328,,,,,,,,
219,4,1310,328,,,,,,,,
220,0,1314,329,,,,,,,,
221,1,1318,332,,,,,,,,
222,2,1322,335,,,,,,,,
223,3,1332,335,,,,,,,,
224,4,1338,335,,,,,,,,
225,0,1342,336,,,,,,,,
226,1,1346,339,,,,,,,,
227,2,1353,339,,,,,,,,
228,3,1359,341,,,,,,,,
229,4,1365,341,,,,,,,,
230,0,1369,342,,,,,,,,
231,1,1373,345,,,,,,,,
232,2,1377,348,,,,,,,,
233,3,1396,348,,,,,,,,
234,4,1400,350,,,,,,,,
235,0,1408,350,,,,,,,,
236,1,1413,352,,,,,,,,
237,2,1418,354,,,,,,,,
238,3,1422,358,,,,,,,,
239,4,1426,360,,,,,,,,
240,0,1430,361,,,,,,,,
241,1,1435,363,,,,,,,,
242,2,1441,364,,,,,,,,
243,3,1446,367,,,,,,,,
244,4,1450,369,,,,,,,,
245,0,1459,369,,,,,,,,
246,1,1464,371,,,,,,,,
247,2,1468,374,,,,,,,,
248,3,1476,374,,,,,,,,
249,4,1480,376,,,,,,,,
250,0,1484,377,,,,,,,,
251,1,1488,380,,,,,,,,
252,2,1495,380,,,,,,,,
253,3,1501,382,,,,,,,,
254,4,1505,384,,,,,,,,
255,0,1509,385,,,,,,,,
256,1,1513,388,,,,,,,,
257,2,1517,391,,,,,,,,
258,3,1521,395,,,,,,,,
259,4,1531,395,,,,,,,,
260,0,1539,395,,,,,,,,
261,1,1546,395,,,,,,,,
262,2,1550,398,,,,,,,,
263,3,1558,398,,,,,,,,
264,4,1564,398,,,,,,,,
265,0,1568,399,,,,,,,,
266,1,1573,401,,,,,,,,
267,2,1578,403,,,,,,,,
268,3,1582,407,,,,,,,,
269,4,1594,407,,,,,,,,
270,0,1598,408,,,,,,,,
271,1,1603,410,,,,,,,,
272,2,1609,411,,,,,,,,
273,3,1615,413,,,,,,,,
274,4,1623,413,,,,,,,,
275,0,1627,414,,,,,,,,
276,1,1631,417,,,,,,,,
277,2,1636,419,,,,,,,,
278,3,1642,421,,,,,,,,
279,4,1648,421,,,,,,,,
280,0,1652,422,,,,,,,,
281,1,1657,424,,,,,,,,
282,2,1662,426,,,,,,,,
283,3,1670,426,,,,,,,,
284,4,1676,426,,,,,,,,
285,0,1680,427,,,,,,,,
286,1,1684,430,,,,,,,,
287,2,1689,432,,,,,,,,
288,3,1695,434,,,,,,,,
289,4,1704,434,,,,,,,,
290,0,1708,435,,,,,,,,
291,1,1712,438,,,,,,,,
292,2,1719,438,,,,,,,,
293,3,1723,442,,,,,,,,
294,4,1732,442,,,,,,,,
295,0,1736,443,,,,,,,,
296,1,1740,446,,,,,,,,
297,2,1747,446,,,,,,,,
298,3,1752,449,,,,,,,,
299,4,1761,449,,,,,,,,
300,0,1768,449,,,,,,,,
301,1,1774,450,,,,,,,,
302,2,1779,452,,,,,,,,
303,3,1788,452,,,,,,,,
304,4,1793,453,,,,,,,,
305,0,1797,454,,,,,,,,
306,1,1801,457,,,,,,,,
307,2,1805,460,,,,,,,,
308,3,1811,462,,,,,,,,
309,4,1817,462,,,,,,,,
310,0,1821,463,,,,,,,,
311,1,1825,466,,,,,,,,
312,2,1829,469,,,,,,,,
313,3,1837,469,,,,,,,,
314,4,1841,471,,,,,,,,
315,0,1845,472,,,,,,,,
316,1,1849,475,,,,,,,,
317,2,1856,475,,,,,,,,
318,3,1860,479,,,,,,,,
319,4,1869,479,,,,,,,,
320,0,1873,480,,,,,,,,
321,1,1877,483,,,,,,,,
322,2,1881,486,,,,,,,,
